<Detalhamento do log>

  DIA    |   HORA 
6/9/2017 | 14:1:4 - Linha 1
6/9/2017 | 14:1:4 - Linha 2
6/9/2017 | 14:1:4 - Linha 3
6/9/2017 | 14:1:4 - Linha 4
6/9/2017 | 14:1:4 - Linha 5
6/9/2017 | 14:1:4 - Linha 6
6/9/2017 | 14:1:4 - Linha 7
6/9/2017 | 14:1:4 - Linha 8
6/9/2017 | 14:1:4 - Linha 9
6/9/2017 | 14:1:4 - Linha 10
6/9/2017 | 14:1:4 - Linha 11
6/9/2017 | 14:1:4 - Linha 12
6/9/2017 | 14:1:4 - Linha 13
6/9/2017 | 14:1:4 - Linha 14
6/9/2017 | 14:1:4 - Linha 15
6/9/2017 | 14:1:4 - Linha 16
6/9/2017 | 14:1:4 - Linha 17
6/9/2017 | 14:1:4 - Linha 18
6/9/2017 | 14:1:4 - Linha 19
6/9/2017 | 14:1:4 - Linha 20

Finalizado!
<Detalhamento do log>  DIA    |   HORA 16/9/2017 | 10:5:35 - Linha 116/9/2017 | 10:5:35 - Linha 216/9/2017 | 10:5:35 - Linha 316/9/2017 | 10:5:35 - Linha 416/9/2017 | 10:5:35 - Linha 516/9/2017 | 10:5:35 - Linha 616/9/2017 | 10:5:35 - Linha 716/9/2017 | 10:5:35 - Linha 816/9/2017 | 10:5:35 - Linha 916/9/2017 | 10:5:35 - Linha 1016/9/2017 | 10:5:35 - Linha 1116/9/2017 | 10:5:35 - Linha 1216/9/2017 | 10:5:35 - Linha 1316/9/2017 | 10:5:35 - Linha 1416/9/2017 | 10:5:35 - Linha 1516/9/2017 | 10:5:35 - Linha 1616/9/2017 | 10:5:35 - Linha 1716/9/2017 | 10:5:35 - Linha 1816/9/2017 | 10:5:35 - Linha 1916/9/2017 | 10:5:35 - Linha 20
